ObservationDate,ExpirationDate,Tenor,D2X,Strike,Moneyness,BBG
7/12/2024,10-Sep-24,2M,42,5892.10,1.05,9.5700
7/12/2024,10-Sep-24,2M,42,6172.70,1.1,10.8200
7/12/2024,10-Sep-24,2M,42,6733.80,1.2,16.2100
7/12/2024,10-Oct-24,3M,63,4489.20,0.8,25.4700
7/12/2024,10-Oct-24,3M,63,5050.40,0.9,17.8300
7/12/2024,10-Oct-24,3M,63,5330.90,0.95,14.4300
7/12/2024,10-Oct-24,3M,63,5471.20,0.975,12.7900
7/12/2024,10-Oct-24,3M,63,5611.50,1,11.3700
7/12/2024,10-Oct-24,3M,63,5751.80,1.025,10.3900
7/12/2024,10-Oct-24,3M,63,5892.10,1.05,9.9200
7/12/2024,10-Oct-24,3M,63,6172.70,1.1,10.0100
7/12/2024,10-Oct-24,3M,63,6733.80,1.2,13.8600
7/12/2024,8-Jan-25,6M,126,4489.20,0.8,23.3600
7/12/2024,8-Jan-25,6M,126,5050.40,0.9,18.0800
7/12/2024,8-Jan-25,6M,126,5330.90,0.95,15.7100
7/12/2024,8-Jan-25,6M,126,5471.20,0.975,14.5600
7/12/2024,8-Jan-25,6M,126,5611.50,1,13.5000
7/12/2024,8-Jan-25,6M,126,5751.80,1.025,12.5900
7/12/2024,8-Jan-25,6M,126,5892.10,1.05,11.8800
7/12/2024,8-Jan-25,6M,126,6172.70,1.1,11.0700
7/12/2024,8-Jan-25,6M,126,6733.80,1.2,11.3000
7/12/2024,8-Apr-25,9M,189,4489.20,0.8,22.3300
7/12/2024,8-Apr-25,9M,189,5050.40,0.9,18.3000
7/12/2024,8-Apr-25,9M,189,5330.90,0.95,16.3800
7/12/2024,8-Apr-25,9M,189,5471.20,0.975,15.4500
7/12/2024,8-Apr-25,9M,189,5611.50,1,14.5600
7/12/2024,8-Apr-25,9M,189,5751.80,1.025,13.7600
7/12/2024,8-Apr-25,9M,189,5892.10,1.05,13.0600
7/12/2024,8-Apr-25,9M,189,6172.70,1.1,12.0000
7/12/2024,8-Apr-25,9M,189,6733.80,1.2,11.0500
7/12/2024,12-Jul-25,1Y,252,4489.20,0.8,21.97
7/12/2024,12-Jul-25,1Y,252,5050.40,0.9,18.50
7/12/2024,12-Jul-25,1Y,252,5330.90,0.95,16.91
7/12/2024,12-Jul-25,1Y,252,5471.20,0.975,16.09
7/12/2024,12-Jul-25,1Y,252,5611.50,1,15.25
7/12/2024,12-Jul-25,1Y,252,5751.80,1.025,14.38
7/12/2024,12-Jul-25,1Y,252,5892.10,1.05,13.48
7/12/2024,12-Jul-25,1Y,252,6172.70,1.1,12.50
7/12/2024,12-Jul-25,1Y,252,6733.80,1.2,11.32
7/12/2024,12-Jul-26,2Y,504,4489.20,0.8,21.2100
7/12/2024,12-Jul-26,2Y,504,5050.40,0.9,18.9800
7/12/2024,12-Jul-26,2Y,504,5330.90,0.95,17.8800
7/12/2024,12-Jul-26,2Y,504,5471.20,0.975,17.3300
7/12/2024,12-Jul-26,2Y,504,5611.50,1,16.7800
7/12/2024,12-Jul-26,2Y,504,5751.80,1.025,16.2400
7/12/2024,12-Jul-26,2Y,504,5892.10,1.05,15.7000
7/12/2024,12-Jul-26,2Y,504,6172.70,1.1,14.7100
7/12/2024,12-Jul-26,2Y,504,6733.80,1.2,13.1700
7/12/2024,12-Jul-27,3Y,756,4489.20,0.8,20.9900
7/12/2024,12-Jul-27,3Y,756,5050.40,0.9,19.1200
7/12/2024,12-Jul-27,3Y,756,5330.90,0.95,18.1900
7/12/2024,12-Jul-27,3Y,756,5471.20,0.975,17.7200
7/12/2024,12-Jul-27,3Y,756,5611.50,1,17.2500
7/12/2024,12-Jul-27,3Y,756,5751.80,1.025,16.7800
7/12/2024,12-Jul-27,3Y,756,5892.10,1.05,16.3200
7/12/2024,12-Jul-27,3Y,756,6172.70,1.1,15.4300
7/12/2024,12-Jul-27,3Y,756,6733.80,1.2,13.9200
7/12/2024,11-Jul-28,4Y,1008,4489.20,0.8,21.12
7/12/2024,11-Jul-28,4Y,1008,5050.40,0.9,19.60
7/12/2024,11-Jul-28,4Y,1008,5330.90,0.95,18.86
7/12/2024,11-Jul-28,4Y,1008,5471.20,0.975,18.48
7/12/2024,11-Jul-28,4Y,1008,5611.50,1,18.10
7/12/2024,11-Jul-28,4Y,1008,5751.80,1.025,17.71
7/12/2024,11-Jul-28,4Y,1008,5892.10,1.05,17.33
7/12/2024,11-Jul-28,4Y,1008,6172.70,1.1,16.57
7/12/2024,11-Jul-28,4Y,1008,6733.80,1.2,15.17
7/12/2024,11-Jul-29,5Y,1260,4489.20,0.8,21.5400
7/12/2024,11-Jul-29,5Y,1260,5050.40,0.9,20.3100
7/12/2024,11-Jul-29,5Y,1260,5330.90,0.95,19.7100
7/12/2024,11-Jul-29,5Y,1260,5471.20,0.975,19.4000
7/12/2024,11-Jul-29,5Y,1260,5611.50,1,19.0900
7/12/2024,11-Jul-29,5Y,1260,5751.80,1.025,18.7700
7/12/2024,11-Jul-29,5Y,1260,5892.10,1.05,18.4400
7/12/2024,11-Jul-29,5Y,1260,6172.70,1.1,17.7500
7/12/2024,11-Jul-29,5Y,1260,6733.80,1.2,16.4200
