Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag,IncomeByPosition,MaturityDate,StrikePrice
7/15/2024,AUGW,2SPY  240731C00517670,2SPY  240731C00517670,SPY 07/31/2024 517.67 C,-1339,43.8339,-5869359.21,-8.55%,68623000.86,2450000,98,,,7/31/2024,517.67
7/15/2024,AUGW,2SPY  240731P00366230,2SPY  240731P00366230,SPY 07/31/2024 366.23 P,-1339,0.0348,-4659.72,-0.01%,68623000.86,2450000,98,,,7/31/2024,366.23
7/15/2024,AUGW,2SPY  240731P00457840,2SPY  240731P00457840,SPY 07/31/2024 457.84 P,1339,0.0906,12131.34,0.02%,68623000.86,2450000,98,,,7/31/2024,457.84
7/15/2024,AUGW,Cash&Other,Cash&Other,Cash&Other,-28089.61,1,-28089.61,-0.04%,68623000.86,2450000,98,Y,,,
7/15/2024,DECT,4SPY  241129C00003380,4SPY  241129C00003380,SPY 11/29/2024 3.38 C,395,555.7313,21951386.35,107.73%,20376458.18,650000,26,,,11/29/2024,3.38
7/15/2024,DECT,4SPY  241129C00538320,4SPY  241129C00538320,SPY 11/29/2024 538.32 C,-395,39.8748,-1575054.6,-7.73%,20376458.18,650000,26,,,11/29/2024,538.32
7/15/2024,DECT,4SPY  241129P00410760,4SPY  241129P00410760,SPY 11/29/2024 410.76 P,-395,0.9286,-36679.7,-0.18%,20376458.18,650000,26,,,11/29/2024,410.76
7/15/2024,DECT,4SPY  241129P00456350,4SPY  241129P00456350,SPY 11/29/2024 456.35 P,395,1.7476,69030.2,0.34%,20376458.18,650000,26,,,11/29/2024,456.35
7/15/2024,DECT,Cash&Other,Cash&Other,Cash&Other,-33460.01,1,-33460.01,-0.16%,20376458.18,650000,26,Y,,,
7/15/2024,DECW,4SPY  241129C00003420,4SPY  241129C00003420,SPY 11/29/2024 3.42 C,1628,555.6921,90466673.88,112.16%,80657844.47,2700000,108,,,11/29/2024,3.42
7/15/2024,DECW,4SPY  241129C00513450,4SPY  241129C00513450,SPY 11/29/2024 513.45 C,-1628,61.0858,-9944768.24,-12.33%,80657844.47,2700000,108,,,11/29/2024,513.45
7/15/2024,DECW,4SPY  241129P00365120,4SPY  241129P00365120,SPY 11/29/2024 365.12 P,-1628,0.5297,-86235.16,-0.11%,80657844.47,2700000,108,,,11/29/2024,365.12
7/15/2024,DECW,4SPY  241129P00456450,4SPY  241129P00456450,SPY 11/29/2024 456.45 P,1628,1.7503,284948.84,0.35%,80657844.47,2700000,108,,,11/29/2024,456.45
7/15/2024,DECW,Cash&Other,Cash&Other,Cash&Other,-67667.22,1,-67667.22,-0.08%,80657844.47,2700000,108,Y,,,
7/15/2024,FEBT,4SPY  250131C00003570,4SPY  250131C00003570,SPY 01/31/2025 3.57 C,764,554.2421,42344096.44,104.76%,40420798.23,1250000,50,,,1/31/2025,3.57
7/15/2024,FEBT,4SPY  250131C00564970,4SPY  250131C00564970,SPY 01/31/2025 564.97 C,-764,26.9769,-2061035.16,-5.10%,40420798.23,1250000,50,,,1/31/2025,564.97
7/15/2024,FEBT,4SPY  250131P00434590,4SPY  250131P00434590,SPY 01/31/2025 434.59 P,-764,2.2902,-174971.28,-0.43%,40420798.23,1250000,50,,,1/31/2025,434.59
7/15/2024,FEBT,4SPY  250131P00482830,4SPY  250131P00482830,SPY 01/31/2025 482.83 P,764,4.4073,336717.72,0.83%,40420798.23,1250000,50,,,1/31/2025,482.83
7/15/2024,FEBT,Cash&Other,Cash&Other,Cash&Other,-26461.24,1,-26461.24,-0.07%,40420798.23,1250000,50,Y,,,
7/15/2024,FEBW,4SPY  250131C00003620,4SPY  250131C00003620,SPY 01/31/2025 3.62 C,1619,554.1936,89723943.84,108.09%,83012181.05,2775000,111,,,1/31/2025,3.62
7/15/2024,FEBW,4SPY  250131C00540440,4SPY  250131C00540440,SPY 01/31/2025 540.44 C,-1619,44.4491,-7196309.29,-8.67%,83012181.05,2775000,111,,,1/31/2025,540.44
7/15/2024,FEBW,4SPY  250131P00386300,4SPY  250131P00386300,SPY 01/31/2025 386.30 P,-1619,1.2971,-210000.49,-0.25%,83012181.05,2775000,111,,,1/31/2025,386.3
7/15/2024,FEBW,4SPY  250131P00482930,4SPY  250131P00482930,SPY 01/31/2025 482.93 P,1619,4.4138,714594.22,0.86%,83012181.05,2775000,111,,,1/31/2025,482.93
7/15/2024,FEBW,Cash&Other,Cash&Other,Cash&Other,-25082.4,1,-25082.4,-0.03%,83012181.05,2775000,111,Y,,,
7/15/2024,FLAO,4SPY  240930C00003980,4SPY  240930C00003980,SPY 09/30/2024 3.98 C,1377,554.597,76368006.9,101.08%,75555707.34,2875000,115,,,9/30/2024,3.98
7/15/2024,FLAO,4SPY  240930C00569150,4SPY  240930C00569150,SPY 09/30/2024 569.15 C,-1377,9.2569,-1274675.13,-1.69%,75555707.34,2875000,115,,,9/30/2024,569.15
7/15/2024,FLAO,4SPY  240930P00496920,4SPY  240930P00496920,SPY 09/30/2024 496.92 P,1377,1.4364,197792.28,0.26%,75555707.34,2875000,115,,,9/30/2024,496.92
7/15/2024,FLAO,Cash&Other,Cash&Other,Cash&Other,260000.4,1,260000.4,0.34%,75555707.34,2875000,115,Y,,,
7/15/2024,FLJJ,4SPY  241231C00004140,4SPY  241231C00004140,SPY 12/31/2024 4.14 C,148,553.3522,8189612.56,100.14%,8178418.79,300000,12,,,12/31/2024,4.14
7/15/2024,FLJJ,4SPY  241231C00589230,4SPY  241231C00589230,SPY 12/31/2024 589.23 C,-148,10.9151,-161543.48,-1.98%,8178418.79,300000,12,,,12/31/2024,589.23
7/15/2024,FLJJ,4SPY  241231P00517010,4SPY  241231P00517010,SPY 12/31/2024 517.01 P,148,6.5356,96726.88,1.18%,8178418.79,300000,12,,,12/31/2024,517.01
7/15/2024,FLJJ,Cash&Other,Cash&Other,Cash&Other,53126.75,1,53126.75,0.65%,8178418.79,300000,12,Y,,,
7/15/2024,JANT,4SPY  241231C00003520,4SPY  241231C00003520,SPY 12/31/2024 3.52 C,951,553.9564,52681253.64,105.36%,49999433.68,1450000,58,,,12/31/2024,3.52
7/15/2024,JANT,4SPY  241231C00555640,4SPY  241231C00555640,SPY 12/31/2024 555.64 C,-951,29.372,-2793277.2,-5.59%,49999433.68,1450000,58,,,12/31/2024,555.64
7/15/2024,JANT,4SPY  241231P00427780,4SPY  241231P00427780,SPY 12/31/2024 427.78 P,-951,1.6658,-158417.58,-0.32%,49999433.68,1450000,58,,,12/31/2024,427.78
7/15/2024,JANT,4SPY  241231P00475260,4SPY  241231P00475260,SPY 12/31/2024 475.26 P,951,3.2423,308342.73,0.62%,49999433.68,1450000,58,,,12/31/2024,475.26
7/15/2024,JANT,Cash&Other,Cash&Other,Cash&Other,-41500.67,1,-41500.67,-0.08%,49999433.68,1450000,58,Y,,,
7/15/2024,JANW,4SPY  241231C00003560,4SPY  241231C00003560,SPY 12/31/2024 3.56 C,4519,553.9174,250315273.1,108.92%,229807929.9,7075000,283,,,12/31/2024,3.56
7/15/2024,JANW,4SPY  241231C00531920,4SPY  241231C00531920,SPY 12/31/2024 531.92 C,-4519,47.4227,-21430318.13,-9.33%,229807929.9,7075000,283,,,12/31/2024,531.92
7/15/2024,JANW,4SPY  241231P00380250,4SPY  241231P00380250,SPY 12/31/2024 380.25 P,-4519,0.9479,-428356.01,-0.19%,229807929.9,7075000,283,,,12/31/2024,380.25
7/15/2024,JANW,4SPY  241231P00475360,4SPY  241231P00475360,SPY 12/31/2024 475.36 P,4519,3.2473,1467454.87,0.64%,229807929.9,7075000,283,,,12/31/2024,475.36
7/15/2024,JANW,Cash&Other,Cash&Other,Cash&Other,-130063.09,1,-130063.09,-0.06%,229807929.9,7075000,283,Y,,,
7/15/2024,JNEU,4SPY  250530C00018720,4SPY  250530C00018720,SPY 05/30/2025 18.72 C,251,539.45,13540195,98.13%,13797911.27,525000,21,,,5/30/2025,18.72
7/15/2024,JNEU,4SPY  250530P00448260,4SPY  250530P00448260,SPY 05/30/2025 448.26 P,-251,4.8881,-122691.31,-0.89%,13797911.27,525000,21,,,5/30/2025,448.26
7/15/2024,JNEU,4SPY  250530P00542140,4SPY  250530P00542140,SPY 05/30/2025 542.14 P,251,16.0798,403602.98,2.93%,13797911.27,525000,21,,,5/30/2025,542.14
7/15/2024,JNEU,Cash&Other,Cash&Other,Cash&Other,-24032.31,1,-24032.31,-0.17%,13797911.27,525000,21,Y,,,
7/15/2024,JULT,4SPY  250630C00004030,4SPY  250630C00004030,SPY 06/30/2025 4.03 C,1609,550.59,88589931,99.93%,88655425.09,2350000,94,,,6/30/2025,4.03
7/15/2024,JULT,4SPY  250630C00635980,4SPY  250630C00635980,SPY 06/30/2025 635.98 C,-1609,8.84,-1422356,-1.60%,88655425.09,2350000,94,,,6/30/2025,635.98
7/15/2024,JULT,4SPY  250630P00489800,4SPY  250630P00489800,SPY 06/30/2025 489.80 P,-1609,9.44,-1518896,-1.71%,88655425.09,2350000,94,,,6/30/2025,489.8
7/15/2024,JULT,4SPY  250630P00544170,4SPY  250630P00544170,SPY 06/30/2025 544.17 P,1609,18.89,3039401,3.43%,88655425.09,2350000,94,,,6/30/2025,544.17
7/15/2024,JULT,Cash&Other,Cash&Other,Cash&Other,-38032.38,1,-38032.38,-0.04%,88655425.09,2350000,94,Y,,,
7/15/2024,JULU,4SPY  250630C00019050,4SPY  250630C00019050,SPY 06/30/2025 19.05 C,440,537.7766,23662170.4,97.39%,24296534.57,950000,38,,,6/30/2025,19.05
7/15/2024,JULU,4SPY  250630P00462590,4SPY  250630P00462590,SPY 06/30/2025 462.59 P,-440,6.78,-298320,-1.23%,24296534.57,950000,38,,,6/30/2025,462.59
7/15/2024,JULU,4SPY  250630P00559190,4SPY  250630P00559190,SPY 06/30/2025 559.19 P,440,21.6639,953211.6,3.92%,24296534.57,950000,38,,,6/30/2025,559.19
7/15/2024,JULU,Cash&Other,Cash&Other,Cash&Other,-22001.15,1,-22001.15,-0.09%,24296534.57,950000,38,Y,,,
7/15/2024,JULW,4SPY  250630C00004080,4SPY  250630C00004080,SPY 06/30/2025 4.08 C,4849,552.0291,267678910.6,100.53%,266263350.3,7875000,315,,,6/30/2025,4.08
7/15/2024,JULW,4SPY  250630C00611650,4SPY  250630C00611650,SPY 06/30/2025 611.65 C,-4849,16.7084,-8101903.16,-3.04%,266263350.3,7875000,315,,,6/30/2025,611.65
7/15/2024,JULW,4SPY  250630P00435380,4SPY  250630P00435380,SPY 06/30/2025 435.38 P,-4849,4.8201,-2337266.49,-0.88%,266263350.3,7875000,315,,,6/30/2025,435.38
7/15/2024,JULW,4SPY  250630P00544270,4SPY  250630P00544270,SPY 06/30/2025 544.27 P,4849,18.67,9053083,3.40%,266263350.3,7875000,315,,,6/30/2025,544.27
7/15/2024,JULW,Cash&Other,Cash&Other,Cash&Other,-45624.05,1,-45624.05,-0.02%,266263350.3,7875000,315,Y,,,
7/15/2024,JUNT,4SPY  250530C00003900,4SPY  250530C00003900,SPY 05/30/2025 3.90 C,667,553.611,36925853.7,101.58%,36351822.43,1175000,47,,,5/30/2025,3.9
7/15/2024,JUNT,4SPY  250530C00612650,4SPY  250530C00612650,SPY 05/30/2025 612.65 C,-667,14.5738,-972072.46,-2.67%,36351822.43,1175000,47,,,5/30/2025,612.65
7/15/2024,JUNT,4SPY  250530P00474630,4SPY  250530P00474630,SPY 05/30/2025 474.63 P,-667,6.7045,-447190.15,-1.23%,36351822.43,1175000,47,,,5/30/2025,474.63
7/15/2024,JUNT,4SPY  250530P00527320,4SPY  250530P00527320,SPY 05/30/2025 527.32 P,667,13.1924,879933.08,2.42%,36351822.43,1175000,47,,,5/30/2025,527.32
7/15/2024,JUNT,Cash&Other,Cash&Other,Cash&Other,-36906.68,1,-36906.68,-0.10%,36351822.43,1175000,47,Y,,,
7/15/2024,JUNW,4SPY  250530C00003960,4SPY  250530C00003960,SPY 05/30/2025 3.96 C,4347,553.5537,240629793.4,102.62%,234490941.9,8100000,324,,,5/30/2025,3.96
7/15/2024,JUNW,4SPY  250530C00592240,4SPY  250530C00592240,SPY 05/30/2025 592.24 C,-4347,23.333,-10142855.1,-4.33%,234490941.9,8100000,324,,,5/30/2025,592.24
7/15/2024,JUNW,4SPY  250530P00421900,4SPY  250530P00421900,SPY 05/30/2025 421.90 P,-4347,3.6313,-1578526.11,-0.67%,234490941.9,8100000,324,,,5/30/2025,421.9
7/15/2024,JUNW,4SPY  250530P00527420,4SPY  250530P00527420,SPY 05/30/2025 527.42 P,4347,13.2099,5742343.53,2.45%,234490941.9,8100000,324,,,5/30/2025,527.42
7/15/2024,JUNW,Cash&Other,Cash&Other,Cash&Other,-174037.01,1,-174037.01,-0.07%,234490941.9,8100000,324,Y,,,
7/15/2024,MART,4SPY  250228C00003760,4SPY  250228C00003760,SPY 02/28/2025 3.76 C,2082,554.4847,115443714.5,101.87%,113329964.7,3525000,141,,,2/28/2025,3.76
7/15/2024,MART,4SPY  250228C00596440,4SPY  250228C00596440,SPY 02/28/2025 596.44 C,-2082,13.6513,-2842200.66,-2.51%,113329964.7,3525000,141,,,2/28/2025,596.44
7/15/2024,MART,4SPY  250228P00457270,4SPY  250228P00457270,SPY 02/28/2025 457.27 P,-2082,3.6184,-753350.88,-0.66%,113329964.7,3525000,141,,,2/28/2025,457.27
7/15/2024,MART,4SPY  250228P00508030,4SPY  250228P00508030,SPY 02/28/2025 508.03 P,2082,7.3542,1531144.44,1.35%,113329964.7,3525000,141,,,2/28/2025,508.03
7/15/2024,MART,Cash&Other,Cash&Other,Cash&Other,-56216.86,1,-56216.86,-0.05%,113329964.7,3525000,141,Y,,,
7/15/2024,MARW,4SPY  250228C00003810,4SPY  250228C00003810,SPY 02/28/2025 3.81 C,3694,554.4364,204808806.2,103.85%,197220929.4,6600000,264,,,2/28/2025,3.81
7/15/2024,MARW,4SPY  250228C00572250,4SPY  250228C00572250,SPY 02/28/2025 572.25 C,-3694,25.7813,-9523612.22,-4.83%,197220929.4,6600000,264,,,2/28/2025,572.25
7/15/2024,MARW,4SPY  250228P00406460,4SPY  250228P00406460,SPY 02/28/2025 406.46 P,-3694,1.9858,-733554.52,-0.37%,197220929.4,6600000,264,,,2/28/2025,406.46
7/15/2024,MARW,4SPY  250228P00508130,4SPY  250228P00508130,SPY 02/28/2025 508.13 P,3694,7.3654,2720778.76,1.38%,197220929.4,6600000,264,,,2/28/2025,508.13
7/15/2024,MARW,Cash&Other,Cash&Other,Cash&Other,-63451.38,1,-63451.38,-0.03%,197220929.4,6600000,264,Y,,,
7/15/2024,MAYT,4SPY  250430C00003710,4SPY  250430C00003710,SPY 04/30/2025 3.71 C,342,553.5584,18931697.28,103.41%,18308103.19,575000,23,,,4/30/2025,3.71
7/15/2024,MAYT,4SPY  250430C00589780,4SPY  250430C00589780,SPY 04/30/2025 589.78 C,-342,21.6237,-739530.54,-4.04%,18308103.19,575000,23,,,4/30/2025,589.78
7/15/2024,MAYT,4SPY  250430P00451780,4SPY  250430P00451780,SPY 04/30/2025 451.78 P,-342,4.6143,-157809.06,-0.86%,18308103.19,575000,23,,,4/30/2025,451.78
7/15/2024,MAYT,4SPY  250430P00501930,4SPY  250430P00501930,SPY 04/30/2025 501.93 P,342,8.7174,298135.08,1.63%,18308103.19,575000,23,,,4/30/2025,501.93
7/15/2024,MAYT,Cash&Other,Cash&Other,Cash&Other,-25500.05,1,-25500.05,-0.14%,18308103.19,575000,23,Y,,,
7/15/2024,MAYU,4SPY  250430C00018820,4SPY  250430C00018820,SPY 04/30/2025 18.82 C,263,539.0621,14177333.23,98.65%,14371003.58,525000,21,,,4/30/2025,18.82
7/15/2024,MAYU,4SPY  250430P00426680,4SPY  250430P00426680,SPY 04/30/2025 426.68 P,-263,3.4527,-90806.01,-0.63%,14371003.58,525000,21,,,4/30/2025,426.68
7/15/2024,MAYU,4SPY  250430P00517040,4SPY  250430P00517040,SPY 04/30/2025 517.04 P,263,10.6929,281223.27,1.96%,14371003.58,525000,21,,,4/30/2025,517.04
7/15/2024,MAYU,Cash&Other,Cash&Other,Cash&Other,2381.41,1,2381.41,0.02%,14371003.58,525000,21,Y,,,
7/15/2024,MAYW,4SPY  250430C00003760,4SPY  250430C00003760,SPY 04/30/2025 3.76 C,1082,553.5104,59889825.28,105.48%,56776372.91,1925000,77,,,4/30/2025,3.76
7/15/2024,MAYW,4SPY  250430C00567040,4SPY  250430C00567040,SPY 04/30/2025 567.04 C,-1082,34.6532,-3749476.24,-6.60%,56776372.91,1925000,77,,,4/30/2025,567.04
7/15/2024,MAYW,4SPY  250430P00401580,4SPY  250430P00401580,SPY 04/30/2025 401.58 P,-1082,2.62,-283484,-0.50%,56776372.91,1925000,77,,,4/30/2025,401.58
7/15/2024,MAYW,4SPY  250430P00502030,4SPY  250430P00502030,SPY 04/30/2025 502.03 P,1082,8.729,944477.8,1.66%,56776372.91,1925000,77,,,4/30/2025,502.03
7/15/2024,MAYW,Cash&Other,Cash&Other,Cash&Other,-28413.75,1,-28413.75,-0.05%,56776372.91,1925000,77,Y,,,
7/15/2024,NVBT,4SPY  241031C00003090,4SPY  241031C00003090,SPY 10/31/2024 3.09 C,209,555.7199,11614545.91,114.12%,10177735.63,325000,13,,,10/31/2024,3.09
7/15/2024,NVBT,4SPY  241031C00500490,4SPY  241031C00500490,SPY 10/31/2024 500.49 C,-209,69.0707,-1443577.63,-14.18%,10177735.63,325000,13,,,10/31/2024,500.49
7/15/2024,NVBT,4SPY  241031P00376380,4SPY  241031P00376380,SPY 10/31/2024 376.38 P,-209,0.3879,-8107.11,-0.08%,10177735.63,325000,13,,,10/31/2024,376.38
7/15/2024,NVBT,4SPY  241031P00418160,4SPY  241031P00418160,SPY 10/31/2024 418.16 P,209,0.6584,13760.56,0.14%,10177735.63,325000,13,,,10/31/2024,418.16
7/15/2024,NVBT,Cash&Other,Cash&Other,Cash&Other,496.56,1,496.56,0.00%,10177735.63,325000,13,Y,,,
7/15/2024,NVBW,4SPY  241031C00003140,4SPY  241031C00003140,SPY 10/31/2024 3.14 C,692,555.6707,38452412.44,119.63%,32142669.89,1075000,43,,,10/31/2024,3.14
7/15/2024,NVBW,4SPY  241031C00476890,4SPY  241031C00476890,SPY 10/31/2024 476.89 C,-692,91.358,-6321973.6,-19.67%,32142669.89,1075000,43,,,10/31/2024,476.89
7/15/2024,NVBW,4SPY  241031P00334560,4SPY  241031P00334560,SPY 10/31/2024 334.56 P,-692,0.2328,-16109.76,-0.05%,32142669.89,1075000,43,,,10/31/2024,334.56
7/15/2024,NVBW,4SPY  241031P00418240,4SPY  241031P00418240,SPY 10/31/2024 418.24 P,692,0.6591,45609.72,0.14%,32142669.89,1075000,43,,,10/31/2024,418.24
7/15/2024,NVBW,Cash&Other,Cash&Other,Cash&Other,-19218.55,1,-19218.55,-0.06%,32142669.89,1075000,43,Y,,,
7/15/2024,OCTT,2SPY  240930C00003160,2SPY  240930C00003160,SPY 09/30/2024 3.16 C,797,555.4071,44265945.87,111.25%,39790101.24,1075000,43,,,9/30/2024,3.16
7/15/2024,OCTT,2SPY  240930C00510890,2SPY  240930C00510890,SPY 09/30/2024 510.89 C,-797,55.7775,-4445466.75,-11.17%,39790101.24,1075000,43,,,9/30/2024,510.89
7/15/2024,OCTT,2SPY  240930P00384730,2SPY  240930P00384730,SPY 09/30/2024 384.73 P,-797,0.2383,-18992.51,-0.05%,39790101.24,1075000,43,,,9/30/2024,384.73
7/15/2024,OCTT,2SPY  240930P00427440,2SPY  240930P00427440,SPY 09/30/2024 427.44 P,797,0.4251,33880.47,0.09%,39790101.24,1075000,43,,,9/30/2024,427.44
7/15/2024,OCTT,Cash&Other,Cash&Other,Cash&Other,-47679.34,1,-47679.34,-0.12%,39790101.24,1075000,43,Y,,,
7/15/2024,OCTW,2SPY  240930C00003210,2SPY  240930C00003210,SPY 09/30/2024 3.21 C,2692,555.3577,149502292.8,116.64%,128178572.2,3700000,148,,,9/30/2024,3.21
7/15/2024,OCTW,2SPY  240930C00486600,2SPY  240930C00486600,SPY 09/30/2024 486.60 C,-2692,78.9067,-21241683.64,-16.57%,128178572.2,3700000,148,,,9/30/2024,486.6
7/15/2024,OCTW,2SPY  240930P00341980,2SPY  240930P00341980,SPY 09/30/2024 341.98 P,-2692,0.1363,-36691.96,-0.03%,128178572.2,3700000,148,,,9/30/2024,341.98
7/15/2024,OCTW,2SPY  240930P00427520,2SPY  240930P00427520,SPY 09/30/2024 427.52 P,2692,0.4255,114544.6,0.09%,128178572.2,3700000,148,,,9/30/2024,427.52
7/15/2024,OCTW,Cash&Other,Cash&Other,Cash&Other,-167664.44,1,-167664.44,-0.13%,128178572.2,3700000,148,Y,,,
7/15/2024,SEPT,2SPY  240830C00003330,2SPY  240830C00003330,SPY 08/30/2024 3.33 C,236,556.7171,13138523.56,105.43%,12461337.7,425000,17,,,8/30/2024,3.33
7/15/2024,SEPT,2SPY  240830C00537850,2SPY  240830C00537850,SPY 08/30/2024 537.85 C,-236,28.6848,-676961.28,-5.43%,12461337.7,425000,17,,,8/30/2024,537.85
7/15/2024,SEPT,2SPY  240830P00405320,2SPY  240830P00405320,SPY 08/30/2024 405.32 P,-236,0.1453,-3429.08,-0.03%,12461337.7,425000,17,,,8/30/2024,405.32
7/15/2024,SEPT,2SPY  240830P00450300,2SPY  240830P00450300,SPY 08/30/2024 450.30 P,236,0.2731,6445.16,0.05%,12461337.7,425000,17,,,8/30/2024,450.3
7/15/2024,SEPT,Cash&Other,Cash&Other,Cash&Other,-3996.51,1,-3996.51,-0.03%,12461337.7,425000,17,Y,,,
7/15/2024,SEPW,2SPY  240830C00003380,2SPY  240830C00003380,SPY 08/30/2024 3.38 C,667,556.6675,37129722.25,110.68%,33545601.07,1200000,48,,,8/30/2024,3.38
7/15/2024,SEPW,2SPY  240830C00511370,2SPY  240830C00511370,SPY 08/30/2024 511.37 C,-667,53.4642,-3566062.14,-10.63%,33545601.07,1200000,48,,,8/30/2024,511.37
7/15/2024,SEPW,2SPY  240830P00360280,2SPY  240830P00360280,SPY 08/30/2024 360.28 P,-667,0.0816,-5442.72,-0.02%,33545601.07,1200000,48,,,8/30/2024,360.28
7/15/2024,SEPW,2SPY  240830P00450400,2SPY  240830P00450400,SPY 08/30/2024 450.40 P,667,0.2735,18242.45,0.05%,33545601.07,1200000,48,,,8/30/2024,450.4
7/15/2024,SEPW,Cash&Other,Cash&Other,Cash&Other,-32893.49,1,-32893.49,-0.10%,33545601.07,1200000,48,Y,,,
7/15/2024,SIXD,4SPY  241129C00003900,4SPY  241129C00003900,SPY 11/29/2024 3.90 C,3174,555.2222,176227526.3,102.38%,172126232.2,6675000,267,,,11/29/2024,3.9
7/15/2024,SIXD,4SPY  241129C00567820,4SPY  241129C00567820,SPY 11/29/2024 567.82 C,-3174,18.7195,-5941569.3,-3.45%,172126232.2,6675000,267,,,11/29/2024,567.82
7/15/2024,SIXD,4SPY  241129P00474630,4SPY  241129P00474630,SPY 11/29/2024 474.63 P,-3174,2.3326,-740367.24,-0.43%,172126232.2,6675000,267,,,11/29/2024,474.63
7/15/2024,SIXD,4SPY  241129P00527320,4SPY  241129P00527320,SPY 11/29/2024 527.32 P,3174,6.2501,1983781.74,1.15%,172126232.2,6675000,267,,,11/29/2024,527.32
7/15/2024,SIXD,Cash&Other,Cash&Other,Cash&Other,586420.26,1,586420.26,0.34%,172126232.2,6675000,267,Y,,,
7/15/2024,SIXF,4SPY  240731C00003570,4SPY  240731C00003570,SPY 07/31/2024 3.57 C,246,556.3116,13685265.36,107.63%,12714901.3,475000,19,,,7/31/2024,3.57
7/15/2024,SIXF,4SPY  240731C00520160,4SPY  240731C00520160,SPY 07/31/2024 520.16 C,-246,41.3703,-1017709.38,-8.00%,12714901.3,475000,19,,,7/31/2024,520.16
